# counter, sec, nsec, x, y, z, qx, qy, qz, qw
0, 4, 12475000, 42.31119217930377, 11.776800000000001, 1.1918412466706523, -0.9935025981565543, -0.11362031383903023, 0.00015990596361417826, -0.006556383864568265
1, 4, 45838999, 42.31138163999463, 11.775776780144824, 1.1926117606140387, -0.9932631912093633, -0.11575606821440106, 0.001729288027918676, -0.005076930475316363
2, 4, 79206000, 42.31181526349777, 11.775274709924254, 1.1932452854141222, -0.9930703991651154, -0.1174194355548055, 0.003111698148597226, -0.0037650751202707323
3, 4, 112572000, 42.31225914632487, 11.7750185093042, 1.1937062552640472, -0.9929759759458311, -0.11820617546375707, 0.00436822933529306, -0.002632460660735302
4, 4, 145941999, 42.31258674019805, 11.774684933404611, 1.19398748965426, -0.9929662434282222, -0.11825745700596646, 0.005535911069153628, -0.0016021745101876335
5, 4, 179300999, 42.31278607000396, 11.77455066515914, 1.194184080989728, -0.9929703305627063, -0.11817273394330129, 0.006682241473813774, -0.0006893645198682288
6, 4, 212679999, 42.31281036922719, 11.774347184994738, 1.194414564843186, -0.9928678650613365, -0.11896617603216753, 0.007770143462255716, 0.00027633205195312606
7, 4, 246058999, 42.31256710423424, 11.7739795545966, 1.194633191474546, -0.9925875131443687, -0.12120127675656753, 0.008861091499085053, 0.0013267704777406263
8, 4, 279411999, 42.31222623416724, 11.773374926810629, 1.1946598012311018, -0.9921440753159856, -0.1246776986421448, 0.009978655361626699, 0.002455954775762821
9, 4, 312770000, 42.312476269406275, 11.772976880720584, 1.1944487868837472, -0.9916108761965705, -0.1287390823575697, 0.011017339607399574, 0.003568908849483309
10, 4, 346135000, 42.313675058887334, 11.773093841655168, 1.1939554662622667, -0.9911192920197373, -0.1323613292628995, 0.011939431501076167, 0.0045252046897849155
11, 4, 379495999, 42.315390337391165, 11.773518392721378, 1.1930492406690845, -0.9907443650126087, -0.13504286109039534, 0.01271905978184758, 0.005220573009644242
12, 4, 412884000, 42.31732136851118, 11.774189919729046, 1.191918306087766, -0.9905081076395411, -0.1366884278451165, 0.013335209025918138, 0.005668738290018361
13, 4, 446233000, 42.31919932643773, 11.774984605207575, 1.1908011685761366, -0.9903681626272309, -0.13764676750139895, 0.013755686391282409, 0.0059203836601479645
14, 4, 479595999, 42.32145272679677, 11.776048075231287, 1.1898030774176303, -0.9902406291638812, -0.13854288763619987, 0.013917424973578143, 0.005972430045548397
15, 4, 512976000, 42.32409393531899, 11.77726499492389, 1.1886599899608097, -0.9900556677521816, -0.1398705014294846, 0.013826047138667048, 0.005904066578698417
16, 4, 546342000, 42.32727132606791, 11.778621686352551, 1.1871603980650995, -0.9897793833364903, -0.14185074442165949, 0.013502930795780717, 0.005727956789514821
17, 4, 579717999, 42.33109804812843, 11.780110087776553, 1.1858968197610142, -0.9893982778848233, -0.1445457625315592, 0.01296105354248629, 0.00543887339300382
18, 4, 613067000, 42.33590361847478, 11.781473852429183, 1.1852493303739426, -0.9888848560306734, -0.14809354819010492, 0.012215022354004245, 0.005082885651922092
19, 4, 646440000, 42.342171175458596, 11.782562242838065, 1.1852456092428374, -0.988198640669295, -0.15270125965647033, 0.011130539165691388, 0.004677924386498426
20, 4, 679795000, 42.34988962990343, 11.783374179089257, 1.1849415132151966, -0.9873401550793477, -0.15825450439114708, 0.009857152676335756, 0.004215038424211179
21, 4, 713165000, 42.359293848305875, 11.78399313783645, 1.1840741213949038, -0.9863460077621854, -0.16443086571161428, 0.008397981945819477, 0.0036765843069026657
22, 4, 746535999, 42.370484479584064, 11.784500819839316, 1.1828811059064728, -0.985270940335235, -0.17084280435039614, 0.0066821449079658155, 0.0030429051978515635
23, 4, 779892000, 42.383640274632505, 11.784722237144265, 1.1818894122462493, -0.9841591589280743, -0.17721173132194729, 0.004626460347873387, 0.002312583947264037
24, 4, 813280999, 42.39917369454151, 11.784905038965473, 1.1811502800892848, -0.9831263277347488, -0.1829083765777019, 0.002243521988856683, 0.0014546826397506109
25, 4, 846633999, 42.4173253759037, 11.7853802558304, 1.1804239891247332, -0.9823262921978483, -0.18717558080756908, -0.00043438954275145904, 0.0004109889316349248
26, 4, 879996000, 42.43795558775569, 11.786633401891915, 1.1793767431818336, -0.9818046801848033, -0.1898599076067842, -0.0034737416838405534, -0.0008476847724820252
27, 4, 913405000, 42.46076979253047, 11.788785771676363, 1.177393945785707, -0.981471666002274, -0.19147449140953982, -0.006771248251524079, -0.0022445871101822714
